559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2016-11-15T16:27:33.798Z	5820b75cd73408ce4f3448df	venkateshwaracholan	582b3775e462097a3051ea6b	hello
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2016-09-17T11:01:14.504Z	540a150e163965c9bc202eaf	abhisekp	57dd227a18291e10487bfa7f	"-----

-----

-----
## This room will be closed and archived.
** @/all Please move discussion of this topic to our forum, or to one of the official Free Code Camp chat rooms: http://forum.freecodecamp.com/t/free-code-camp-official-chat-rooms/19390**

-----

-----

-----"
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-10-06T21:26:27.947Z	546fc9f1db8155e6700d6e8c	QuincyLarson	56143c839a2cfa1347ac656c	"##Please note that we now recommend campers use their Campsite’s Facebook group for chatting instead of their campsite’s Gitter chatroom. 
We are doing this because few of our Campsite Gitter chatroooms have active synchronous discussions, and about 1/3rd of conversations consist of someone saying “hello” and not getting a response. Most of the discussions are asynchronous, which Facebook posts and group messages are better suited for.
We’ve removed this Gitter room from our Campsite directory. Still, we will keep it open for archival purposes, and you can keep using it if you’d like.
Here’s a short blog post about how our Campsites are evolving and growing: http://blog.freecodecamp.com/2015/09/jump-start-your-local-campsite-with-coffee-and-code.html"
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-10-04T23:38:32.143Z	55c181660fc9f982beac3f95	KarlSchodt	5611b87876931cb7479f010d	Thanks for the responses so far re coding collaboration, need to know how many would be interested to see if its viable to organise a coding group so we can learn together
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-22T23:58:18.192Z	559fac510fc9f982beaa69d8	MichaelGreenNZ	5601eb1aa0ecf0e07a8e432c	
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-22T23:58:06.685Z	559fac510fc9f982beaa69d8	MichaelGreenNZ	5601eb0ea0ecf0e07a8e432b	
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-22T01:53:05.393Z	55c181660fc9f982beac3f95	KarlSchodt	5600b4810ed44a00046f592e	I have a potential venue. CBD based in auckland. Planning on having the inaugural meeting within a month. 
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-21T20:52:36.885Z	55c181660fc9f982beac3f95	KarlSchodt	56006e140ed44a00046f503f	Great. Thinking about a venue in the city. What works better, an evening event initially and then maybe on the weekend?
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-21T09:49:36.947Z	54d29d8fdb8155e6700f751f	dragonraij	55ffd2b00ed44a00046f33a5	I would be interested in something like that a lot. I am very much a beginner though.  A group like this can have lot of potential in regards to learning and motivation
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-21T08:50:36.295Z	559fac510fc9f982beaa69d8	MichaelGreenNZ	55ffc4dc9f9fabb6673e5f31	I’d be interested in a meet-up, I’m still fairly early in the process, and I notice since i was last on there are some new HTML/CSS waypoints. So i’m going to go back and do those now.
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-21T03:43:23.904Z	55c181660fc9f982beac3f95	KarlSchodt	55ff7cdb0ed44a00046f2afa	Hi @richchurcher  that would be fantastic. Looking around at the moment to find a venue and will be in touch when I do. was thinking of an initial evening event and then see what interest there in from then on
