5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-11-25T22:50:02.154Z	579ad60040f3a6eec05cffc7	slavo7	5838c01a8d65e3830e9e3563	Zdravo free code camperi :) nisam imao pojma da ima ova grupa :-)
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-09-17T10:58:03.493Z	540a150e163965c9bc202eaf	abhisekp	57dd21bbfa660dd95fe9dfba	"-----

-----

-----
## This room will be closed and archived.
** @/all Please move discussion of this topic to our forum, or to one of the official Free Code Camp chat rooms: http://forum.freecodecamp.com/t/free-code-camp-official-chat-rooms/19390**

-----

-----

-----"
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-09-16T19:34:55.299Z	54fc9e0415522ed4b3dcfa0d	neofit77	57dc495ffa660dd95fe7c806	Poz
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-09-16T18:18:47.600Z	5660f9c716b6c7089cbd51f0	Mrakonja	57dc3787707892c474c3c513	poz
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-08-10T18:04:02.113Z	55dd28c00fc9f982beae9d2f	Matko95	57ab6c92f7f11a7936b32d57	@44552 mislim da nisi razumela/o  zadatak. Camelcase se odnosi na nacin imenovanja a ne bukvalno naziv promenljivih   https://en.m.wikipedia.org/wiki/CamelCase
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-08-10T16:28:26.577Z	57a4ad2640f3a6eec05e1a1d	44552	57ab562ad7087a017fa95a1d	"// Declarations
var camelCase;
var camelCase;
var camelCase;

// Assignments
camelCase= 10;
camelCase = ""A String"";
camelcase = 9000;
molim vas za pomoc ne mogu preci test, instrukcije su da imenujem sve declarations i assigments sa camelcase ali i pored toga ne mogu preci test da li negde gresim molim vas zapomoc"
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-07-26T18:32:59.094Z	55a3e7255e0d51bd787b3f18	samosale	5797acdb7c9324e20e003b14	"I naravno, ono zbog cega je to vazno jeste da iako se izvrsava na drugom mestu ona ""pamti varijable"" iz mesta gde je definisana"
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-07-26T18:31:58.451Z	55a3e7255e0d51bd787b3f18	samosale	5797ac9e37c95e2446b7cfb8	@aleksarakic callback funkcija se obicno smatra za primer closure. Jer sve funkcije su closure ALI ono sto se pod tim najcesce podrazumeva je funkcija koja se izvrsava na nekom drugom mestu od onog gde je definisana. 
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-30T15:42:02.951Z	55dd28c00fc9f982beae9d2f	Matko95	57753dcabb1de91c54b9d277	ali u nekim design patternima moze da se koristi za kreiranje privatnih atributa (promenljivih), funkcije koje se redefinisu, inicijalizaciju vrednosti itd.
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-30T15:41:03.463Z	55dd28c00fc9f982beae9d2f	Matko95	57753d8f1ac8bd1a4da56bbb	"```
(function(){

})()
```
"
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-30T15:39:28.735Z	55dd28c00fc9f982beae9d2f	Matko95	57753d3097171715549b7744	stavljanjem anonime funkcije
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-30T15:39:19.227Z	55dd28c00fc9f982beae9d2f	Matko95	57753d27a0c12d110fd4a756	recim o u angularu se koristi za ciscenje globalnog prostora
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-30T15:37:57.996Z	5612d913d33f749381a85e49	aleksarakic	57753cd51ac8bd1a4da5590c	Je l mozes da mi das primer kad se najcesce koristi?  
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-30T15:34:01.253Z	55dd28c00fc9f982beae9d2f	Matko95	57753be98441a8124d9b4f71	al u sustini jeste i to :D
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-30T15:32:47.346Z	55dd28c00fc9f982beae9d2f	Matko95	57753b9f632b75030fbca854	pa sad closure funkcije imaju razlicite namene
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-30T15:29:36.222Z	5612d913d33f749381a85e49	aleksarakic	57753ae0a0c12d110fd47e70	radim ovaj poslednji algoritam iz intermediate dela, pa se borim malo :)
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-30T15:28:23.351Z	5612d913d33f749381a85e49	aleksarakic	57753a971ac8bd1a4da53653	Razumeo sam da closure funkcija  koju smo u stanju da pozovemo i nakon sto je njena parent funkcija  zavrsila sa radom. Je l tako? :)
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-30T15:21:14.743Z	55dd28c00fc9f982beae9d2f	Matko95	577538ea8c9263ba303f0989	@aleksarakic sta te buni tacno? :D
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-30T14:19:18.053Z	5612d913d33f749381a85e49	aleksarakic	57752a668c9263ba303ddf93	Je l moze neko da mi objasni closures, lupam glavu vec dva dana da skontam?
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-30T14:18:16.003Z	5612d913d33f749381a85e49	aleksarakic	57752a288441a8124d99fd8c	Cao ljudi!
5593921d15522ed4b3e324f8	FreeCodeCamp/Belgrade	2016-06-24T22:53:08.930Z	5767f787c2f0db084a1ee88f	Zelibor	576db9d474f25dd571bbf717	:)
