56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-12-20T17:53:30.262Z	55cde1430fc9f982bead6035	julianorafael	5859701ac5a4e0233bac1bbc	Tem alguém trabalhando ativamente nas traduções?
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-11-28T19:15:36.858Z	577a9baec2f0db084a21632a	Pichok	583c82581dec193f14fefea5	Achei os issues mas não achei onde está o projeto
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-11-28T18:51:14.835Z	577a9baec2f0db084a21632a	Pichok	583c7ca273abd79c55a93463	Alguém aqui já começou a traduzir??
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-11-28T15:12:02.372Z	577a9baec2f0db084a21632a	Pichok	583c4942381827c24d8f4c45	então acho que temos que esperar até que eles lancem esse branch, certo?
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-11-28T15:11:45.227Z	577a9baec2f0db084a21632a	Pichok	583c493173abd79c55a7dbc9	"o Quincy falou: ""Once we ship our Staging branch (which includes multi-language support), we can start working on the Brazilian Portuguese translation.""
"
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-11-28T15:11:02.394Z	577a9baec2f0db084a21632a	Pichok	583c4906381827c24d8f4b54	@andrecsantiago é só escolher a imagem pelo explorador de arquivos (Explorer) e depois arrastar aqui :D
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-11-28T15:10:20.416Z	577a9baec2f0db084a21632a	Pichok	583c48dc89d179bf4dd558bf	[![2005-tardis-exterior.jpg](https://files.gitter.im/FreeCodeCamp/BrazilianPortuguese/oWWu/thumb/2005-tardis-exterior.jpg)](https://files.gitter.im/FreeCodeCamp/BrazilianPortuguese/oWWu/2005-tardis-exterior.jpg)
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-11-28T15:09:52.112Z	577a9baec2f0db084a21632a	Pichok	583c48c089d179bf4dd5579d	Falei com o Quincy Larson sobre a versão pt-br
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-11-28T15:09:00.642Z	577a9baec2f0db084a21632a	Pichok	583c488c8d65e3830eadb628	Olá pessoal
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-11-14T21:11:25.547Z	5810d0c1d73408ce4f3102af	Krebz	582a287d45c9e3eb433a4238	"Sala PT-BR, tudo de bom.
https://www.freecodecamp.com/krebz"
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-10-19T06:11:27.102Z	5805bb9fd73408ce4f2f006d	andrecsantiago	58070e8f36d6422636853470	E aí pessoal, beleza? Sou novo aqui, tentando aprender a programar. Mas tem um probleminha, rsrsrsrsrs, não sei como faz para postar a foto aqui para pedir ajuda. 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-10-14T19:26:51.974Z	5586bba115522ed4b3e23ecb	andreferreira-me	5801317b1cc4cda4564f865d	/all Pessoal, como está a tradução do FCC? ano passado comecei a ajudar na tradução mas tive que parar, gostaria de judar novamente
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-10-04T16:12:38.274Z	57aa65a540f3a6eec05eb17a	samanthakem	57f3d4f6d45d7f0f5260f4d4	/all https://github.com/FreeCodeCamp/FreeCodeCamp/pull/11028 Alguem poderia revisar e aprovar? 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-10-01T17:57:40.832Z	57aa65a540f3a6eec05eb17a	samanthakem	57eff914be5dec75500ff7cc	I need someone to review this PR if possible: https://github.com/FreeCodeCamp/FreeCodeCamp/pull/11013 thanks!
