55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-09-20T01:57:08.914Z	57df5d7340f3a6eec065f9b1	SidneyKim	57e09774c3e7045a30628446	hi
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-09-17T11:00:09.891Z	540a150e163965c9bc202eaf	abhisekp	57dd223927a8458f7f216880	"-----

-----

-----
## This room will be closed and archived.
** @/all Please move discussion of this topic to our forum, or to one of the official Free Code Camp chat rooms: http://forum.freecodecamp.com/t/free-code-camp-official-chat-rooms/19390**

-----

-----

-----"
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-05-22T04:12:34.392Z	573bdcdec43b8c60197385bc	yubnubb	574131b27aab25fb459d933f	I will join the facebook group....today I can't make it, but will try for the next one.
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-05-22T04:04:01.036Z	566b9aa616b6c7089cbe63f0	mgeurian	57412fb1e675315635f8ce7f	You can join our Facebook group of you haven't already. There is more information there about our meetings. Hope to see you soon.
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-05-22T04:03:21.335Z	566b9aa616b6c7089cbe63f0	mgeurian	57412f89e675315635f8ce7c	Stobi, we are having a meeting today at the Busan Cultural Contents Center in Centum City and you're more than welcome to come. 
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-05-22T04:01:32.827Z	573bdcdec43b8c60197385bc	yubnubb	57412f1c7aab25fb459d9308	HI all! just started with this camp on the advice of one of my friends. Hope to get to know you all a little better, and who knows...maybe bump into each other in the city. It's bound to happen.
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-05-22T02:25:31.543Z	566b9aa616b6c7089cbe63f0	mgeurian	5741189b08a18f700b827f65	Word. Hope they feel better soon.
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-05-22T02:24:37.200Z	56b1efebe610378809bfa829	bkilrain	57411865d3f431720bb29008	Hey all - sorry I can’t make it today. Wife and child both have colds. I’ll definitely shoot for the next meeting
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-05-14T08:54:12.183Z	56b1efebe610378809bfa829	bkilrain	5736e7b41794136a7d089708	Awesome! See you next week
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-05-14T06:36:18.096Z	566b9aa616b6c7089cbe63f0	mgeurian	5736c762ae26c1967f9e640e	The BCC is located next to the Busan cinema center on the opposite side from the shinsegae mall.
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-05-14T06:34:56.277Z	566b9aa616b6c7089cbe63f0	mgeurian	5736c710e2996a5a42c84b79	We still have meetings every 2nd and 4th Sundays from 1-5pm at the Busan Cultural Complex in centum city. You're more than welcome to come. Be sure to bring a laptop to code with. 
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-05-14T06:21:27.180Z	56b1efebe610378809bfa829	bkilrain	5736c3e764dbdadc7debfb77	I don’t have the facebook… hence why I’m reaching out here
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2016-05-14T06:21:13.276Z	56b1efebe610378809bfa829	bkilrain	5736c3d9ae26c1967f9e6396	Hey ya’ll… I don’t know if anyone comes here anymore but I’d like to get involved with any coding meetups you guys have
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-10-06T21:37:06.344Z	546fc9f1db8155e6700d6e8c	QuincyLarson	56143f02fd5c74d714142e26	"##Please note that we now recommend campers use their Campsite’s Facebook group for chatting instead of their campsite’s Gitter chatroom. 
We are doing this because few of our Campsite Gitter chatroooms have active synchronous discussions, and about 1/3rd of conversations consist of someone saying “hello” and not getting a response. Most of the discussions are asynchronous, which Facebook posts and group messages are better suited for.
We’ve removed this Gitter room from our Campsite directory. Still, we will keep it open for archival purposes, and you can keep using it if you’d like.
Here’s a short blog post about how our Campsites are evolving and growing: http://blog.freecodecamp.com/2015/09/jump-start-your-local-campsite-with-coffee-and-code.html"
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-16T08:18:52.876Z	55b73ff30fc9f982beab39d1	StephenMayeux	55f925ecc588a0de6edebb12	Happy coding!
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-16T08:18:50.491Z	55b73ff30fc9f982beab39d1	StephenMayeux	55f925ea18e0111d7e4f15fd	I'll be in this room for the next 40 minutes if you need to ask questions. 
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-16T08:18:34.368Z	55b73ff30fc9f982beab39d1	StephenMayeux	55f925daaef03edd3ed0c020	How's everybody doing in here?
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-16T08:18:25.982Z	55b73ff30fc9f982beab39d1	StephenMayeux	55f925d1a2c7aa6b1086b9b2	Thanks for the love, @javathehut 
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-15T22:15:38.391Z	55e5329f0fc9f982beaf3eb6	javathehut	55f8988aa2c7aa6b1086ad5a	You can do it @StephenMayeux ! 
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-14T19:15:53.073Z	55b73ff30fc9f982beab39d1	StephenMayeux	55f71ce9a2c7aa6b10867273	OMG! The Advanced Algorithm Bonfires is bananas! I've got one more to go, but my brain is turning into oatmeal!
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-13T01:53:56.398Z	55e5329f0fc9f982beaf3eb6	javathehut	55f4d7344624296d78aefbd2	I finally hit a snag with the size your image waypoint, but luckily someone had JUST answered my question in the help forum. *whew!*
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-11T08:56:46.857Z	55b73ff30fc9f982beab39d1	StephenMayeux	55f2974e5ba1e0ea6b80a1c3	@all Hope to see you at the meetup this Sunday at the Owl and Pussycat Tap Room (next to Sharky's Gwangon, 2nd Floor). Let me know if you have questions
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-11T07:05:24.795Z	55b73ff30fc9f982beab39d1	StephenMayeux	55f27d342dc7775178dd4b84	Let us know if you have any questions
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-11T07:05:16.866Z	55b73ff30fc9f982beab39d1	StephenMayeux	55f27d2c4624296d78aeb798	Awesome, @f1shstick! 
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-10T13:50:09.556Z	55f189170fc9f982beb0414f	f1shstick	55f18a91e0a0a66b0d800d81	Hi! I'm reading the starter guide now :)
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-06T06:01:29.629Z	55b73ff30fc9f982beab39d1	StephenMayeux	55ebd6b9ece6c2581e08f3e8	ctrl + up + m will help you with shortcodes here
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-06T06:01:11.075Z	55b73ff30fc9f982beab39d1	StephenMayeux	55ebd6a70b6aa72b12ffed1e	BRB in two minutes
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-06T06:00:57.748Z	55b73ff30fc9f982beab39d1	StephenMayeux	55ebd699ece6c2581e08f3e6	Hey @Toddsqui 
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-01T08:05:53.541Z	55b73ff30fc9f982beab39d1	StephenMayeux	55e55c613d8fc2d12eaa978c	adios for now! back to the grind
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-01T07:26:21.216Z	55b73ff30fc9f982beab39d1	StephenMayeux	55e5531d70e051b71638bb8e	@kokoman83 That #39 is sometimes buggy. I would try another browser. If doesn't work, please let me know
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-01T07:17:48.461Z	55b73ff30fc9f982beab39d1	StephenMayeux	55e5511c9753899b5da2d371	And the sample code they give will pretty much run the loop. 
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-01T07:17:08.425Z	55b73ff30fc9f982beab39d1	StephenMayeux	55e550f470e051b71638bb41	So for this activity, you'll need to use the .push() method to add 0,1,2,3,4 to the array
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-01T07:16:35.479Z	55b73ff30fc9f982beab39d1	StephenMayeux	55e550d370e051b71638bb38	The loop will continue to run so long as the condition in while (condition) is true. Very important that you don't create an infinite loop here, or it'll crash your browser.
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-01T07:15:29.217Z	55b73ff30fc9f982beab39d1	StephenMayeux	55e5509156211cd86f86def8	#28 is while loops, right?
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-01T07:15:08.200Z	55b73ff30fc9f982beab39d1	StephenMayeux	55e5507c8a8b32aa29a343e6	Substitute teaching in Daegu this week :-(
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-01T07:15:01.183Z	55b73ff30fc9f982beab39d1	StephenMayeux	55e5507556211cd86f86def4	@kokoman83 Sorry I have been AWOL.
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-09-01T06:22:58.173Z	55e5329f0fc9f982beaf3eb6	javathehut	55e544423d8fc2d12eaa94a8	Hi! I'm still reading the starter guide hahaha
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-08-30T15:27:32.191Z	55df0f540fc9f982beaec6e4	kokoman83	55e320e4017739836ed48a54	Basic JavaScript #28 and #39 can't figure it out... anyone willing to share their code??
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-08-28T08:00:37.650Z	55b73ff30fc9f982beab39d1	StephenMayeux	55e01525aa53caef647d3dde	The CA website is really good. jQuery takes a couple of hours, and JS maybe a day or two. 
55cee39a0fc9f982bead75f7	FreeCodeCamp/Busan	2015-08-28T03:18:09.684Z	55df0f540fc9f982beaec6e4	kokoman83	55dfd2f1aa53caef647d3868	No it's me Kiril.  Yup i'll go through the exercises on codeacademy as well. I don't really know much about jquery or java so this is a good intro... i'll need to put in more work for sure
