5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-12-11T00:38:33.318Z	584c9e92d73408ce4f3c2afd	prateekpanther	584ca00928d755bf14ed2329	Hello everyone I am a mainframe programmer. I am interested in learning some web developement
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-09-17T11:02:19.671Z	540a150e163965c9bc202eaf	abhisekp	57dd22bb27a8458f7f216a4f	"-----

-----

-----
## This room will be closed and archived.
** @/all Please move discussion of this topic to our forum, or to one of the official Free Code Camp chat rooms: http://forum.freecodecamp.com/t/free-code-camp-official-chat-rooms/19390**

-----

-----

-----"
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-08-10T13:57:47.023Z	55af1cf40fc9f982beaa8648	adevenuto	57ab32dbd7087a017fa8e56f	You should be able to use: modulo ex...12 % 5 // 2 @ManuelaJa 
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-06-13T21:15:37.977Z	5524875b15522ed4b3dea46c	CandidKilsborne	575f2279e20024bd1ad344c0	@ManuelaJa What number is it?
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-06-08T03:25:21.252Z	5744e293c43b8c601974be8e	ManuelaJa	5757902145cf128e5f1d6dca	hi! im stuck on finding a remainder in javascript anyone go through that part already possible explain it to me please
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-06-07T17:58:17.527Z	55ca0cac0fc9f982bead0254	kelseybcoding	57570b39970521a45839c8f8	Anyone in Chicago already been playing in Rails 5? Action Cable? I am looking for someone for advanced with it than I that can perhaps tutor me as I build out a project for my bootcamp.
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-05-03T00:50:47.036Z	5524875b15522ed4b3dea46c	CandidKilsborne	5727f5e7df1a01ff18fbde0d	@kelseybcoding you're welcome! 
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-05-03T00:31:05.219Z	55ca0cac0fc9f982bead0254	kelseybcoding	5727f149944fc7ba04cc710e	@CandidKilsborne  thanks much!
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-04-22T00:25:40.481Z	5524875b15522ed4b3dea46c	CandidKilsborne	57196f8498c544f1396d70c2	Yeah I wish more people would be active 
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-04-22T00:24:40.487Z	56f6e99585d51f252abafab3	ZoeyCluff	57196f4825b4886636261e8d	aww
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-04-22T00:24:12.277Z	5524875b15522ed4b3dea46c	CandidKilsborne	57196f2c5b5164bf56eed99a	@siadevelopment I haven't noticed much activity in here as of late
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-04-21T21:21:59.390Z	56f6e99585d51f252abafab3	ZoeyCluff	57194477599a529856da098e	anyone around?
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-04-07T23:44:45.400Z	5524875b15522ed4b3dea46c	CandidKilsborne	5706f0ed8b7b2f457634b2a5	@kelseybcoding Not sure if you still need help with the Ruby challange, if you do this might help http://stackoverflow.com/questions/1614147/odd-or-even-entries-in-a-ruby-array
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-04-06T01:55:25.291Z	55ca0cac0fc9f982bead0254	kelseybcoding	57046c8df7d63d897f23a3d5	"Hi all! I am working on a little challenge as a first time playing in Ruby. The exercise is such that the program needs to ask the user 5 times in a row to enter a word by saying ""Please enter a word"". Each time the user enters a random word and once the user enters 5 words one after the other, the program says ""Here are your words"" and lists them alphabetically and each word alternating uppercase and lower case like so, WORD A, word b, WORD C, word d, WORD E. Although the exercise specifies creating a program with 5 words, I need to write it in such a way that I need it to handle 500 words, I can do so with making only 1 simple change. I am also not to use the each_with_index method. So far, I have this for my code and it is running correctly, but the only thing I can't figure out is the alternating upcase and downcase. Please help me figure it out:
words = []
5.times do
    puts ""Please enter a word""
    words<<gets.chomp
end
puts ""Here are your words:""
puts words.sort"
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-02-19T03:11:51.158Z	551c3e1215522ed4b3de3395	alexcampillo	56c687f7ddb99257675397d8	http://stackoverflow.com/questions/2125714/explanation-of-slice-call-in-javascript
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-02-19T02:50:24.170Z	55f838840fc9f982beb0c2bc	Orbers	56c682f0e1786831677bed91	@alexcampillo
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-02-19T02:50:03.661Z	55f838840fc9f982beb0c2bc	Orbers	56c682db5c3b0559674d4702	@lybogany hi
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-02-13T03:09:07.567Z	559ee3c5b3498e315909040c	tknovember	56be9e5337437b675608f995	@wildlifehexagon Yeah I joined that a couple weeks ago. I’m just not a fan of Facebook and avoid it if I can.
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-02-13T03:03:31.014Z	55b2a5240fc9f982beaae3d1	wildlifehexagon	56be9d031fbcdac17897df72	https://www.facebook.com/groups/free.code.camp.chicago/
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-02-13T02:54:34.492Z	55b2a5240fc9f982beaae3d1	wildlifehexagon	56be9aea4dfe1fa71ffc7d19	@tknovember I think everything has moved to the Facebook group now
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2016-02-13T02:53:40.693Z	559ee3c5b3498e315909040c	tknovember	56be9ab496d748c4782fa611	Anyone still on here ever?
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2015-12-11T17:32:37.068Z	566a2f1216b6c7089cbe42ad	GaurangB	566b08b5d09f6139361fd708	Hi @xunxdd 
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2015-12-10T00:10:16.227Z	55c7e5030fc9f982beaccb83	Kparelius	5668c2e8981d32824933af2f	I have no issue using this. It's not going anywhere, after all. 
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2015-10-14T01:24:07.886Z	55def14c0fc9f982beaec3b3	BlackADeath	561daeb7658d372177442c59	"Okay but synchronous chat is alright for this chatroom  too if you bother to scroll up and read a few posts. It's only when people refuse to try that we are forced to change ""for the better"" despite what the community wants. Was there a poll I missed?"
5593934815522ed4b3e32548	FreeCodeCamp/Chicago	2015-10-06T21:33:00.582Z	546fc9f1db8155e6700d6e8c	QuincyLarson	56143e0c76d984a358758a48	"##Please note that we now recommend campers use their Campsite’s Facebook group for chatting instead of their campsite’s Gitter chatroom. 
We are doing this because few of our Campsite Gitter chatroooms have active synchronous discussions, and about 1/3rd of conversations consist of someone saying “hello” and not getting a response. Most of the discussions are asynchronous, which Facebook posts and group messages are better suited for.
We’ve removed this Gitter room from our Campsite directory. Still, we will keep it open for archival purposes, and you can keep using it if you’d like.
Here’s a short blog post about how our Campsites are evolving and growing: http://blog.freecodecamp.com/2015/09/jump-start-your-local-campsite-with-coffee-and-code.html"
