5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2016-09-27T07:10:13.103Z	57e2224440f3a6eec06669c3	Franzzisco	57ea1b5535e0f31c6c46eef3	Hello People!
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2016-09-17T11:02:16.979Z	540a150e163965c9bc202eaf	abhisekp	57dd22b833c63ba01a0d2a49	"-----

-----

-----
## This room will be closed and archived.
** @/all Please move discussion of this topic to our forum, or to one of the official Free Code Camp chat rooms: http://forum.freecodecamp.com/t/free-code-camp-official-chat-rooms/19390**

-----

-----

-----"
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2016-05-18T11:48:38.267Z	55ed7eae0fc9f982beafe601	lclghst	573c5696831fd2d97d9f9158	yes nice app Asif. One thing though, you might want to tone down the twitter permissions ;)
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2016-05-16T21:07:48.900Z	5595c36615522ed4b3e345f7	njgell	573a36a40cb634927f7f6a3d	Nice one @Pashtunzoy Would you mind if I put in a pull request and had a play around too?
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2016-05-16T13:35:28.745Z	558e6bbf15522ed4b3e2e81a	Pashtunzoy	5739cca0c61823687d3c45cb	"Hey guys I made this repo for OAuth practice using PassportJS with ExpressJS and if anyone else wanted to look at the code then check it out here. 
https://github.com/Pashtunzoy/Passport-Logins
I also have it uploaded to Heroku so here is the live app:
https://passport-logins.herokuapp.com/

It's using free MongoLab sandbox db so might have some issue but works most of the time. 
Share it with those who might need it. "
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2016-04-14T20:55:25.265Z	5595c36615522ed4b3e345f7	njgell	571003bd5cd40114649b627d	Been a while since any action in here.. Hi @F4UST 
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2016-03-03T22:44:38.593Z	56d7d309e610378809c4c071	F4UST	56d8be56b01413547d8a05f9	Hey everyone!
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-12-02T12:08:57.850Z	558bf1a715522ed4b3e2b625	posh-ozzie	565edf599a969fd24f3c1bfb	evening melbournites
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-12-01T11:53:11.673Z	563b478016b6c7089cb993a6	invisigram	565d8a2784678bd7053fd2e5	ah i was just about to ask if you did
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-12-01T11:53:02.452Z	558bf1a715522ed4b3e2b625	posh-ozzie	565d8a1e3734bd42649a4ab0	its a bit wrong
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-12-01T11:52:58.664Z	558bf1a715522ed4b3e2b625	posh-ozzie	565d8a1a84678bd7053fd2e1	found the perth one, it had people talking
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-12-01T11:52:48.848Z	558bf1a715522ed4b3e2b625	posh-ozzie	565d8a103a0962562964c461	hahaha
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-12-01T11:51:57.768Z	563b478016b6c7089cb993a6	invisigram	565d89dd84678bd7053fd2d7	@Helfyre hey! so you found the melbourne group - and can see i was the last active post, about a month ago! chirp chirp :P
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-12-01T11:47:09.778Z	558bf1a715522ed4b3e2b625	posh-ozzie	565d88bdf0893e5f6b72b471	@invisigram  howdy
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-12-01T11:46:54.689Z	558bf1a715522ed4b3e2b625	posh-ozzie	565d88ae3a0962562964c421	rabble rabble rabble - love from Perth
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-11-07T05:03:20.378Z	563b478016b6c7089cb993a6	invisigram	563d86181c745ee6407426f7	just my $0.02c
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-11-07T05:03:02.073Z	563b478016b6c7089cb993a6	invisigram	563d86060379c7e740697b2c	Hello world! I'm new here and so just saw your post @njgell , but i still think posting it in hear as well as in the facebook group is a great idea!
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-10-21T01:41:40.664Z	5595c36615522ed4b3e345f7	njgell	5626ed548b37297f06feddaa	Hi everyone. Not sure if people still check this. I also posted in the facebook group. Im heading to the NodeJS meetup tonight and thought some of you might be interested. They are having a talk on Node for beginners. More details here  http://meetu.ps/2PlvcM
