559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-12-22T08:51:31.956Z	55d329b10fc9f982beadc303	vasspilka	585b9413c02c1a39599bbb69	@rjorgenson There are the elixir forums, a great place for discussion
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-27T16:49:02.887Z	55ad390837f2ad22587e8aaa	rjorgenson	57eaa2fe857ab70f7d46f907	there's a facebook group for this still, right?
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-23T02:41:50.593Z	5586625615522ed4b3e23a26	Lemony-Andrew	57e4966e27a8458f7f3a4c8a	That's unfortunate 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-21T17:19:14.352Z	55ad390837f2ad22587e8aaa	rjorgenson	57e2c11290ba43d217368cea	=[
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-17T10:58:02.546Z	540a150e163965c9bc202eaf	abhisekp	57dd21baaabc89857fad1b0d	"-----

-----

-----
## This room will be closed and archived.
** @/all Please move discussion of this topic to our forum, or to one of the official Free Code Camp chat rooms: http://forum.freecodecamp.com/t/free-code-camp-official-chat-rooms/19390**

-----

-----

-----"
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-17T01:05:20.749Z	55a40c8c5e0d51bd787b4329	carl-parrish	57dc96d0c8af41d45f20dc7a	@bialach I’m very biased but I would recommend you pick javascript for your 1st backend. 1) you have to learn it for the front end anyway 2) it’s a very popular stack right now so easy to get a job placement. I honestly don’t know why anyone would want to learn .net. Ruby is great pays well but not that many Ruby shops in AZ last time I checked. (been awhile) 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-17T01:02:09.881Z	55a40c8c5e0d51bd787b4329	carl-parrish	57dc9611df21a7573003da94	Sorry @mpatino117  just seeing this now. Did you join one of the Green Party projects?
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-15T06:28:20.795Z	578cfc86c2f0db084a238674	bialach	57da3f84c8af41d45f186022	That's what had me a bit confused - the teach the front-end for free, like html, css and basic JS, then you pick the back end - depending on what you want to get into
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-15T06:26:44.134Z	54cf0eaedb8155e6700f5680	Dzheky	57da3f24c3e7045a304edd64	depands what you want to start with? front-end, back-end
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-15T06:26:06.606Z	578cfc86c2f0db084a238674	bialach	57da3efeaabc89857fa3c227	I'm thinking about doing the program myself but I'm not sure what to pick (.net, JS, Ruby, etc.) yeah, I thought it was high but their job placement seems pretty sweet!
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-15T06:24:47.579Z	54cf0eaedb8155e6700f5680	Dzheky	57da3eaf27a8458f7f17f16c	hm... ok, that's not bad, bust still expensive for me :D
