55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2016-10-15T17:21:02.825Z	580142a0d73408ce4f2e513c	gtw117	5802657e8eaaaea3669b41a1	Hi
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2016-09-17T11:04:12.312Z	540a150e163965c9bc202eaf	abhisekp	57dd232c18291e10487bfd87	"-----

-----

-----
## This room will be closed and archived.
** @/all Please move discussion of this topic to our forum, or to one of the official Free Code Camp chat rooms: http://forum.freecodecamp.com/t/free-code-camp-official-chat-rooms/19390**

-----

-----

-----"
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-10-26T19:00:09.902Z	55bd66500fc9f982beabd1c7	texas2010	562e7839a752d57c01914f6d	@guillermohernandez  oh ok
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-10-26T18:58:47.497Z	55a090ee5e0d51bd787afd7a	guillermohernandez	562e77e7a752d57c01914f5f	@dwd2010 awesome! I still haven't made a decision on it. Hope there's a decent turnout of employers either way
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-10-26T17:47:42.237Z	55bd66500fc9f982beabd1c7	texas2010	562e673ef2ca1c7f01309276	i will go to job fair at geekdom too! @guillermohernandez 
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-10-26T17:44:45.386Z	55a090ee5e0d51bd787afd7a	guillermohernandez	562e668d70e3dd4b5039a40d	@jazzhands as you probably know, there's lot of competition and not enough jobs. I might go to a job fair at Geekdom tomorrow
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-10-26T16:24:35.607Z	5586e18215522ed4b3e241a3	jazzhands	562e53c3011a22571b236a78	@guillermohernandez  how is that move coming? 
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-10-06T21:36:18.316Z	546fc9f1db8155e6700d6e8c	QuincyLarson	56143ed2fd5c74d714142e1f	"##Please note that we now recommend campers use their Campsite’s Facebook group for chatting instead of their campsite’s Gitter chatroom. 
We are doing this because few of our Campsite Gitter chatroooms have active synchronous discussions, and about 1/3rd of conversations consist of someone saying “hello” and not getting a response. Most of the discussions are asynchronous, which Facebook posts and group messages are better suited for.
We’ve removed this Gitter room from our Campsite directory. Still, we will keep it open for archival purposes, and you can keep using it if you’d like.
Here’s a short blog post about how our Campsites are evolving and growing: http://blog.freecodecamp.com/2015/09/jump-start-your-local-campsite-with-coffee-and-code.html"
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-09-24T05:35:10.704Z	55a090ee5e0d51bd787afd7a	guillermohernandez	56038b8ee85e8d3372529e04	@jazzhands I'm planning on moving close to downtown so that would work for me
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-09-24T04:25:06.214Z	5586e18215522ed4b3e241a3	jazzhands	56037b22d949403e71573699	I live near downtown, so maybe Mad Hatter Coffee?
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-09-24T04:24:31.033Z	5586e18215522ed4b3e241a3	jazzhands	56037aff40f4ecd92f717b31	I'd also love to set up meetups in SA
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-09-21T17:55:03.109Z	55a090ee5e0d51bd787afd7a	guillermohernandez	56004477c588a0de6edf945a	hey San Anto. Working on moving back and I think a meetup would be amazing. Do you guys meet up at all?
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-09-17T16:36:57.582Z	55bd66500fc9f982beabd1c7	texas2010	55faec29c588a0de6edf03ff	Last Tuesday, I am done with html and css challenges on FCC.   Wow, it is really easy to me.
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-09-12T17:53:34.763Z	55bd66500fc9f982beabd1c7	texas2010	55f4669e73ecb93f5cdcd963	i think it is @all or @/all    i forget lol
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-09-12T17:51:10.772Z	55bd66500fc9f982beabd1c7	texas2010	55f4660e73ecb93f5cdcd947	@betog   you could use @/all. it will mention all people in this chat.  I learned from main chat on FCC.  it is very interesting. haha
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-09-12T17:49:59.635Z	55bd66500fc9f982beabd1c7	texas2010	55f465c75ba1e0ea6b80d665	@jerryrobles   Sometime, I dont understand some css code. so i test it on chrome for use inspect element.  so i could understand how it work. it help a lot.
55a4bbbd5e0d51bd787b5175	FreeCodeCamp/SanAntonio	2015-09-11T23:38:16.047Z	55bd66500fc9f982beabd1c7	texas2010	55f365e85ba1e0ea6b80c604	@betog Hello back to you. lol
