55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2016-09-19T21:37:16.152Z	5675c83816b6c7089cbf4fb8	sapioit	57e05a8c33c63ba01a16ee5c	:(
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2016-09-17T11:04:15.587Z	540a150e163965c9bc202eaf	abhisekp	57dd232f18291e10487bfd96	"-----

-----

-----
## This room will be closed and archived.
** @/all Please move discussion of this topic to our forum, or to one of the official Free Code Camp chat rooms: http://forum.freecodecamp.com/t/free-code-camp-official-chat-rooms/19390**

-----

-----

-----"
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2016-04-24T22:49:31.208Z	5586c26215522ed4b3e23f3a	DanStockham	571d4d7bf5b6334a5e707f5a	I need some advice with my savings situation
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2016-04-07T16:14:19.949Z	547193eedb8155e6700d743a	duttakapil	5706875b9ef9b99902aee6c4	"I need some suggestion on which type of bank account  (savings or current) should I open for dealing with my freelance work
If you have decent experience working as a professional freelancer, what account type would you recommend and any additional tips for handling my finances?"
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2016-04-07T14:48:21.515Z	5586c26215522ed4b3e23f3a	DanStockham	570673359ef9b99902aedef5	When some post something yeah.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2016-04-07T14:16:46.588Z	547193eedb8155e6700d743a	duttakapil	57066bceb17e698d5ef1adac	Does anybody use this channel anymore? 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2016-01-30T09:13:44.034Z	5587965b15522ed4b3e25670	itzsaga	56ac7ec88fbaf4220afa3e51	Anybody utilizing Digit? I was skeptical but have accumulated a couple hundred bucks passively now. https://digit.co/r/wGTdv?wn (Yes that's a referral link. That's not why I brought it up though, I really do like it and use it).
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-12-20T22:30:17.064Z	562b148916b6c7089cb813ad	FatTone225	56772bf937169e856a75bc5f	Hey guys, just in case you haven't seen it, RobinHood is offering $0 comission trading for etfs. I just started using it and it does what it says. Only thing is there is a 3 day holding period on your cash once you sell a stock so you can't really day-trade too much unless you have a sizeable cash balance.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-11-18T14:27:29.506Z	547193eedb8155e6700d743a	duttakapil	564c8ad1be2383d8272a2cad	
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-09-16T01:27:09.276Z	5586c26215522ed4b3e23f3a	DanStockham	55f8c56d18e0111d7e4f0e30	@BredanSweeny How much do you have to put in to see significant return?
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-09-16T01:18:36.406Z	558648d915522ed4b3e23905	MirPresT	55f8c36ca2c7aa6b1086b1e7	anyone using babel with grunt or gulp ??
